image,xmin,ymin,xmax,ymax,name,class
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_1.JPG,1764,320,1917,385,5.33,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_1.JPG,1750,384,1937,592,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_1.JPG,1098,549,1151,595,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_1.JPG,1570,616,1635,681,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_2.JPG,1666,511,1764,608,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_3.JPG,2162,735,2242,823,1.23,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_3.JPG,2157,855,2259,974,4.2.2,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_4.JPG,2028,644,2175,813,1.23,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_4.JPG,2023,879,2213,1111,4.2.2,Prescriptive_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_5.JPG,1569,599,1630,661,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_6.JPG,1914,247,2037,385,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_7.JPG,1817,665,1915,769,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_7.JPG,1528,731,1586,783,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_8.JPG,2098,539,2221,686,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_8.JPG,1551,693,1612,757,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_9.JPG,1911,467,2040,618,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_10.JPG,1801,665,1886,757,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_11.JPG,2114,532,2227,663,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_12.JPG,1477,707,1529,787,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_13.JPG,1798,394,1960,608,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_14.JPG,1535,709,1605,781,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-160950-000054F_15.JPG,1918,454,2063,633,2.1,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_1.JPG,1719,572,1801,661,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_2.JPG,1988,388,2103,530,1.21,Warning_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_3.JPG,1567,734,1621,784,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_4.JPG,1725,515,1858,646,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_5.JPG,1440,669,1498,722,2.4,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_5.JPG,1470,715,1542,793,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_6.JPG,1784,511,1963,693,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_6.JPG,1615,533,1705,623,2.4,Priority_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_7.JPG,2381,563,2449,688,5.16.2,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_7.JPG,1834,652,1890,714,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_7.JPG,313,478,390,597,5.16.1,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_8.JPG,2228,482,2305,587,3.24,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_9.JPG,1624,669,1688,753,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_10.JPG,2046,406,2167,581,5.12,Informational_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_11.JPG,1559,664,1620,729,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_11.JPG,1579,723,1611,779,7.2.4,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_12.JPG,2093,276,2218,423,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_12.JPG,2151,425,2240,582,7.2.4,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_13.JPG,1545,674,1603,738,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_13.JPG,1559,738,1592,796,7.2.3,Additional_info_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_14.JPG,1918,411,2037,544,3.27,Forbidding_sign
/root/workspace/work/Digital-Tashkent/Signs/data/content/23.06.2022/NO20220623-161251-000055F_14.JPG,1959,540,2037,693,7.2.3,Additional_info_sign
